Identificador,Tipo de subasta,Cuenta expediente,Fecha de inicio,Fecha de conclusión,Cantidad reclamada,Lotes,Anuncio BOE,Valor subasta,Tasación,Puja mínima,Tramos entre pujas,Importe del depósito,Descripción,Dirección,Código Postal,Localidad,Provincia,Vivienda habitual,Situación posesoria,Visitable,Inscripción registral,Referencia catastral,Cargas,Dirección Mapa
SUB-JA-2023-210669,JUDICIAL EN VÍA DE APREMIO,2182 0000 06 3116 16,2023-08-15,2023-09-04,60010.76,0,BOE-B-2023-23658,170192.0,170192.0,0.0,3403.84,8509.6,"Finca 125 URBANA: CASA situada en la Portella, calle de la Creu, número 18.","CALLE DE LA CREU, NÚM. 18",25134,"PORTELLA, LA",LLEIDA,No,No consta,No consta,No consta,3737801CG0233N0001RX,No consta,"CALLE DE LA CREU, NÚM. 18"
SUB-AT-2023-23R4786001200,AGENCIA TRIBUTARIA,0123 4567 89 0987 65,2023-08-15,2023-09-04,0.0,0,BOE-B-2023-23833,32844.0,32844.0,0.0,1000.0,1642.2,"100% DEL PLENO DOMINIO. FINCA 11815 DE CUÉLLAR, QUE SEGÚN DESCRIPCIÓN        REGISTRAL ES RUSTICA,EN PARAJE ERAS DE SAN ANDRES, SUPERFICIE TERRENO 1,65   ÁREAS Y LINDEROS:NORTE, DANIEL MINGUELA,SUR, CALLE DE LA SERVIDUMBRE, ESTE   DANIEL MINGUELA Y OESTE ISMAEL SANZ. ESTA FINCA TIENE A SU FAVOR LA          SIGUIENTE SERVIDUMBRE: DANIEL MINGUELA ARRANZ SOBRE LA FINCA QUE QUEDA DE SU PROPIEDAD Y A FAVOR DE ESTA Y OTRAS FINCAS, ASI COMO DE LA QUE QUEDA         PROPIEDAD DEL MENTADO DANIEL,CONSTITUYE UNA SERVIDUMBRE DE PASO O CALLE DE   SERVIDUMBRE. SEGÚN CATASTRO LOCALIZACIÓN CL GABRIEL ROJAS 15, SUPERFICIE     TERRENO 179 M2 Y HAY UN ALMACÉN DE 168 M2. REFERENCIA CATASTRAL              0147409UL9804N0001SR",CALLE GABRIEL ROJAS 15,40200,CUELLAR,SEGOVIA,No,No consta,No consta,"BIEN INSCRITO EN REGISTRO  DE CUELLAR TOMO: 1961 , FOLIO: 61 , LIBRO: 285. FINCA: 11815  , INSCRIPCIÓN: 5",0147409UL9804N0001SR,"0,00 €",CALLE GABRIEL ROJAS 15
SUB-JA-2023-209185,JUDICIAL EN VÍA DE APREMIO,0801 0000 06 0750 22,2023-08-15,2023-09-04,158984.89,0,BOE-B-2023-23696,202358.0,202358.0,0.0,4047.16,10117.9,"INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE
          MOLLET DEL VALLÈS, AL TOMO 2389, LIBRO 505 DE MOLLET DEL VALLÈS, FOLIO
          190, FINCA NÚMERO 5.669
          DESCRIPCIÓN: Vivienda sita en piso tercero, puerta quinta, casa sita en Mollet del
          Vallès, calle San Valentín número 6, esquina calle Girona.","CALLE SAN VALENTIN,6 3º5ª",8100,MOLLET DEL VALLES,BARCELONA,Sí,No consta (Según  consta en edicto anexo),No consta,"INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE
          MOLLET DEL VALLÈS, AL TOMO 2389, LIBRO 505 DE MOLLET DEL VALLÈS, FOLIO
          190, FINCA NÚMERO 5.669
          DESCRIPCIÓN: Vivienda sita en piso tercero, puerta quinta, casa sita en Mollet del
          Vallès, calle San Valentín número 6, esquina calle Girona.",No consta,Según consta en certificación anexa,"CALLE SAN VALENTIN,6"
SUB-JA-2023-209371,JUDICIAL EN VÍA DE APREMIO,3668 0000 06 0431 18,2023-08-15,2023-09-04,461691.92,0,BOE-B-2023-23711,546000.0,0.0,0.0,10920.0,27300.0,"Urbana departamento cinco. Nave Industrial, compuesta de planta baja","CALLE ARTESANS, 11-E POLIGONO INDUSTRIAL DE VALLS",43800,VALLS,TARRAGONA,No,No consta (PRESTAMO HIPOTECARIO),No consta,"Finca número 28037 del Registro de la Propiedad de Valls,
          tomo 1837, libro 692, folio 13.",No consta,LAS QUE CONSTEN EN EL REGISTRO DE LA PROPIEDAD,"CALLE ARTESANS, 11"
SUB-AT-2023-23R0886001238,AGENCIA TRIBUTARIA,0123 4567 89 0987 65,2023-08-15,2023-09-04,0.0,0,BOE-B-2023-23843,329863.33,329863.33,0.0,2000.0,16493.16,"100% PLENO DOMINIO. URBANA: ENTIDAD UNO VIVIENDA UNIFAMILIAR, CASA UNO.      CONSTA DE SEMISÓTANO EN DONDE SE SITÚA EL GARAJE, CON UNA SUP. CONSTRUIDA DE 42M2, PLANTA BAJA QUE COMPRENDE COCINA, COMEDOR-ESTAR Y ASEO, PLANTA PISO    PRIMERO, EN LA QUE HAY TRES DORMITORIOS Y DOS BAÑOS Y PLANTA SEGUNDA O       ALTILLO, DONDE SE UBICA UN ESTUDIO, OCUPA LA VIVIENDA UNA SUPERFICIE         CONSTRUIDA DE 122M2, TENIENDO ADEMÁS UNA TERRAZA AL FRENTE, DE SU            EDIFICACIÓN DE 17M2. TODAS LAS PLANTAS SE COMUNICAN ENTRE SI MEDIANTE UNA    ESCALERA INTERIOR SITUADA EN LA PLANTA SEMISÓTANO. LINDA AL FRENTE, CON      FINCA DE LA QUE SE SEGREGÓ HOY CALLE MOSSÉN CINTO VERDAGUER, AL FONDO,       MEDIANTE JARDÍN DE USO PRIVATIVO Y EXCLUSIVO DE ESTA VIVIENDA CON JUAN",CALLE MOSSEN CINTO VERDAGUER 14 A 1 00 1,8391,TIANA,BARCELONA,No,No consta,No consta,"BIEN INSCRITO EN REGISTRO NÚM. 1 DE MATARO TOMO: 3037 , FOLIO: 181 , LIBRO: 174. FINCA: 7895   , INSCRIPCIÓN: 9",9218432DF3991G0001OK,"0,00 €",CALLE MOSSEN CINTO VERDAGUER 14
SUB-JA-2023-208636,JUDICIAL EN VÍA DE APREMIO,3520 0000 06 0065 15,2023-08-15,2023-09-04,128339.71,0,BOE-B-2023-23703,156565.0,156565.0,0.0,0.0,7828.25,"URBANA: En el término municipal de Mogán, Urbanización de Puerto rico, formando parte del comjunto de apartamentos denominado ""apartamentos La Concha"", en la planta primera,1 finca cuarenta y tres, Apartamento número ciento dos, con una terraza en su parte delantera. Ocupa el apartamento una superficie útil de treinta y un metros veinticuarto decímetros cuadrados; y la terraza, dieciocho metros cuadrados. Linda al todo: norte o poniente o derecha, apartamento ciento tres; y naciente o izquierda, apartamento ciento uno.","CALLE ROQUE DE LOS MUCHACHOS 4, ES:1 PL: 00 PTA: A2",35130,MOGAN,LAS PALMAS,No,No consta,No consta,"FINCA 18294, Registro de la Propiedad de Mogan, libro 150, folio 206, tomo 830,",No consta,CONSTAN EN LA CERTIFICACIÓN DE CARGAS,CALLE ROQUE DE LOS MUCHACHOS 4
SUB-JA-2023-207797,JUDICIAL EN VÍA DE APREMIO,1698 0000 06 0528 13,2023-08-15,2023-09-04,129194.43,0,BOE-B-2023-23705,161000.0,0.0,0.0,3220.0,8050.0,Finca nº 3767 de Santa Coloma de Farners,"CALLE CALAU 4, 2º 1ª",17430,SANTA COLOMA DE FARNERS,GIRONA,Sí,No consta,No consta,No consta,2050715/DG7325S/0004/LR,No consta,CALLE CALAU 4
SUB-JA-2021-182035,JUDICIAL EN VÍA DE APREMIO,2198 0000 05 0887 20,2023-08-15,2023-09-04,35570.51,0,BOE-B-2023-23689,112882.97,0.0,0.0,0.0,5644.14,"VIVIENDA SITA EN PLANTA PRIMERA DE JUNEDA, CALLE LA FONT, 85. FINCA 6.536 DE JUNEDA INSCRITA EN EL REGISTRO DE LA PROPIEDAD DE LES BORGES BLANQUES","CALLE LA FONT, 85 1º",25430,JUNEDA,LLEIDA,Sí,No consta,No consta,No consta,No consta,No consta,"CALLE LA FONT, 85"
SUB-JA-2023-207523,JUDICIAL EN VÍA DE APREMIO,0738 0000 05 0805 20,2023-08-15,2023-09-04,179044.73,0,BOE-B-2023-23684,248254.0,248254.0,0.0,4965.08,12412.7,"DESCRIPCIÓN: URBANA.-NUEMRO SEIS. Vivienda puerta segunda, situada en la
          primera planta alta o altuna en la escalera A del edificio situado en Canovelles, enfrente a la Calle Verge de Montserrat, 17 1º2ª, con acceso independiente desde la la calle
          nombrada, mediante puerta, vestíbulo y escalera común. Ocupa una superficie de
          setenta y ocho metros con noventa y un decímetros cuadrados, distribuidos en
          recibidor, comedor-estar, cocina, baño, lavadero y paso cuatro dormitorios","CALLE VERGE DE MONTSERRAT, 17, 1º.2ª",8420,CANOVELLES,BARCELONA,Sí,Sin ocupantes,No consta,"DATOS REGISTRALES:Finca Registral inscrita en el Registro de la Propiedad d
          eCanovelles, en el tomo 873, libro 34 de Canovelles, folio 240, finca Registral 3.464,
          inscripicón 2ª. SE EJECUTA LA INSCRIPCIÓN 3ª",0275210DG4007N0004UJ,SE ACOMPAÑA CERTIFICACIÓN DE CARGAS,"CALLE VERGE DE MONTSERRAT, 17"
SUB-JA-2022-190086,JUDICIAL EN VÍA DE APREMIO,1273 0000 06 0521 18,2023-08-15,2023-09-04,154100.7,0,BOE-B-2023-23674,178363.49,0.0,0.0,3567.27,8918.17,URBANA. CALLE VIRGEN DE LOS MILAGROS Nº 6,CALLE VIRGEN DE LOS MILAGROS Nº 6,11500,EL PUERTO DE SANTA MARIA,CÁDIZ,No consta,No consta,No consta,"Inscrita en el Registro de la Propiedad n. 1 de esta ciudad, al tomo 1406, libro 757, folio
          125, finca registral n. 36765",8647903QA4584F0067ZL,No consta,CALLE VIRGEN DE LOS MILAGROS Nº 6
SUB-JA-2022-191190,JUDICIAL EN VÍA DE APREMIO,5062 0000 06 0547 20,2023-08-15,2023-09-04,129121.86,0,BOE-B-2023-23655,421080.0,0.0,0.0,0.0,21054.0,"Carretera de Amposta, nº 54 en Masdenverge. Vivienda unifamiliar  que onsta de planta baja, destinada a vivienda, con una superficie construida de ciento cuarenta y cinco m2 y acceso directo desde la calle de su situación; y una planta sótano. Superficie total 294m2","CARRETERA DE AMPOSTA, 54",43878,MASDENVERGE,TARRAGONA,Sí,No consta,No consta,"Finca nº 35467 de Masdenverge, del Registro de la Propiedad de Amposta 1, tomo 4033, libro 68 de Masdenverge, folio 23",1501901/BF9110B/0001/QX,No consta,"CARRETERA DE AMPOSTA, 54"
SUB-JA-2022-193257,JUDICIAL EN VÍA DE APREMIO,4228 0000 06 2832 21,2023-08-15,2023-09-04,71266.8,0,BOE-B-2023-23710,134244.83,134244.83,0.0,0.0,6712.24,finca  urbana 29785/A,"CALLE GIL DE FREDERIC, 3",43500,TORTOSA,TARRAGONA,No consta,No consta,No consta,No consta,No consta,No consta,"CALLE GIL DE FREDERIC, 3"
SUB-AT-2023-22R1586001024,AGENCIA TRIBUTARIA,0123 4567 89 0987 65,2023-08-15,2023-09-04,0.0,0,BOE-B-2023-23752,81496.0,81496.0,0.0,2000.0,4074.8,"LOCAL SITUADO EN LA PLANTA BAJA DEL EDIFICIO SITO EN LA PARROQUIA Y          MUNICIPIO DE BURELA, SITIO DE  GRANDA , DESTINADO A LOCAL COMERCIAL, CON UNA SUPERFICIE DE CIENTO SESENTA Y DOS METROS CUADRADOS. ESTÁ DIVIDIDO EN        DIVERSAS DEPENDENCIAS Y SERVICIOS, Y LINDA: FRENTE, TERRAZA ANEXA A ESTE     LOCAL  DERECHA, EDUARDA PENA DOMÍNGUEZ  IZQUIERDA, CALLE LUIS PIMENTEL Y     FONDO, RESTO DE TERRENO SIN EDIFICAR. ESTE LOCAL TIENE COMO ANEXO UNA        TERRAZA SITUADA A SU FRENTE, CON UNA SUPERFICIE DE CUARENTA Y OCHO METROS    CUADRADOS, QUE LINDA: FRENTE, CALLE ARCADIO PARDIÑAS  DERECHA, EDUARDA PENA  DOMÍNGUEZ  IZQUIERDA, CALLE PIMENTEL Y FONDO, LOCAL DEL CUAL ES ANEXO.       REFERENCIA CATASTRAL 2849015PJ3324N0001ER (PARCIAL PUES NO HAY DIVISIÓN",AVENIDA ARCADIO PARDIÑAS 162,27880,BURELA,LUGO,No consta,No consta,No consta,"BIEN INSCRITO EN REGISTRO  DE VIVEIRO TOMO: 736 , FOLIO: 61 , LIBRO: 8. FINCA: 1125   , INSCRIPCIÓN: 1",2849015PJ3324N0001ER,"0,00 €",AVENIDA ARCADIO PARDIÑAS 162
SUB-JA-2022-199589,JUDICIAL EN VÍA DE APREMIO,2125 0000 06 0272 21,2023-08-15,2023-09-04,55489.94,0,BOE-B-2023-23688,100392.0,0.0,0.0,0.0,5019.6,VER CERTIFICACION CARGAS,CALLE SANTIAGO APOSTOL 2,24000,TROBAJO DEL CAMINO,LEÓN,Sí,No consta,No consta,No consta,5899024TN8159N0001KP,No consta,CALLE SANTIAGO APOSTOL 2
SUB-JA-2022-199697,JUDICIAL EN VÍA DE APREMIO,3576 0000 05 0058 21,2023-08-15,2023-09-04,16706.87,0,BOE-B-2023-23687,52613.15,0.0,0.0,1052.26,2630.65,DOCUMENTACION ANEXA SUBASTA,CALLE NUEVA SN,36540,SILLEDA,PONTEVEDRA,No consta,No consta,No consta,No consta,No consta,"Se cancelan la carga registral que da lugar a esta subasta y todas las posteriores. Se mantendrán las cargas o gravámenes anteriores o del mismo rango, y quien se adjudique el inmueble se subroga en la responsabilidad que garantizan. Los interesados han de comprobar qué cargas existen y su estado actual. Además del precio ofrecido y esas posibles cargas, se han de abonar otros gastos e impuestos, por lo que antes de participar es conveniente consultar con expertos",CALLE NUEVA SN
SUB-RC-2023-2959000123M03,RECAUDACIÓN TRIBUTARIA,0123 4567 89 0987 65,2023-08-15,2023-09-04,0.0,0,BOE-B-2023-23884,37390.98,37390.98,18695.49,747.82,1869.55,"Descripción registral: Finca número dos Urbana. Parcela de terreno o solar, señalado en el plano con el número R-3, situada en la parte más al Norte y Oriental de la finca descrita, sita en la denominada calle Barranco de Pérez de la Villa de Cómpeta, con una extensión superficial de sesenta y siete metros y cinco decímetros cuadrados. Consultar resto de la descripción registral en el apartado de los bienes del documento adjunto ""Datos esenciales de la Subasta 23M03""",CALLE BARRANCO PEREZ 3,29754,CÓMPETA,MÁLAGA,No,No consta,No,Finca 5489 de Cómpeta,3268265VF1736N0000FO,"Consultar el apartado de los bienes en el documento adjunto ""Datos esenciales de la Subasta 23M03""",CALLE BARRANCO PEREZ 3
SUB-AT-2023-23R0886001242,AGENCIA TRIBUTARIA,0123 4567 89 0987 65,2023-08-15,2023-09-04,0.0,0,BOE-B-2023-23845,8644.96,8644.96,0.0,500.0,432.24,"100% PLENO DOMINIO. URBANA: ENTIDAD Nº20. PLAZA DE APARCAMIENTO Nº9,         SITUADA EN LA PLANTA SÓTANO 1º DEL EDIFICIO SITA EN LA CALLE SANT JAUME, Nº  13 Y 15 EN EL TÉRMINO MUNICIPAL DE SAN ACISCLO DE VALLALTA. TIENE UNA        SUPERFICIE DE 12,70M2 Y SU ACCESO DESDE EL PASO COMÚN A TODAS LAS FINCAS DE  ESTA PLANTA. LINDA: AL FRENTE, TOMANDO COMO TAL LA ZONA COMÚN A TRAVÉS DE LA CUAL SE ACCEDE A DICHA PLAZA DE APARCAMIENTO, CON DICHA ZONA COMÚN  A LA     IZQUIERDA, ENTRANDO, CON PLAZA DE APARCAMIENTO Nº8 DE ESTA MISMA PLANTA  Y   AL FONDO CON SUBSUELO DE CAMINO PARTICULAR. TIENE UN COEFICIENTE DE          PARTICIPACIÓN EN LOS ELEMENTOS COMUNES DE UN ENTERO CON VEINTIUNA CENTÉSIMAS POR CIENTO.",CALLE SANT JAUME 13 -1 9,8359,SANT ISCLE DE VALLALTA,BARCELONA,No,No consta,No consta,"BIEN INSCRITO EN REGISTRO  DE ARENYS DE MAR TOMO: 1579 , FOLIO: 11 , LIBRO: 14. FINCA: 896    , INSCRIPCIÓN: 1",4383715DG6048S0020DM,"0,00 €",CALLE SANT JAUME 13
SUB-AT-2023-23R0886001244,AGENCIA TRIBUTARIA,0123 4567 89 0987 65,2023-08-15,2023-09-04,0.0,0,BOE-B-2023-23846,8916.69,8916.69,0.0,500.0,445.83,"100% PLENO DOMINIO. URBANA: ENTIDAD Nº 15. PLAZA DE APARCAMIENTO Nº 4        SITUADA EN LA PLANTA SOTANO 1º DEL EDIFICIO SITO EN LA CALLE SANT JAUME, Nº  13 Y 15 EN EL TÉRMINO MUNICIPAL DE SANT ACISCLO DE VALLALTA. TIENE UNA       SUPERFICIE DE 13,65M2 Y SU ACCESO DESDE EL PASO COMÚN A TODAS LAS FINCAS DE  ESTA PLANTA. LINDA: AL FRENTE, TOMANDO COMO TAL LA ZONA COMUN A TRAVES DE LA CUAL SE ACCEDE A DICHA PLAZA DE APARCAMIENTO, CON DICHA ZONA COMUN  A LA     IZQUIERDA, ENTRANDO, CON PLAZA DE APARCAMIENTO Nº 5 DE ESTA FINCA DEL SR     PONS COLLET. TIENE UN COEFICIENTE DE PARTICIPACIÓN EN LOS ELEMENTOS COMUNES  DE UN ENTERO CON VEINTIUNA CENTÉSIMAS POR CIENTO.",CALLE SANT JAUME 13 -1 4,8359,SANT ISCLE DE VALLALTA,BARCELONA,No,No consta,No consta,"BIEN INSCRITO EN REGISTRO  DE ARENYS DE MAR TOMO: 1521 , FOLIO: 220 , LIBRO: 13. FINCA: 886    , INSCRIPCIÓN: 1",4383715DG6048S0015AZ,"0,00 €",CALLE SANT JAUME 13
